Date,Liquid_Fund_NAV,Wekeza_Maisha_NAV
2026-04-27,506.5217,1210.818
2026-04-28,506.9507,1211.6605
2026-04-29,507.0942,1213.1734
2026-04-30,507.2375,1216.2293
2026-05-01,507.2375,1216.2293
2026-05-04,507.3808,1217.4191
2026-05-05,507.9899,1216.6582
2026-05-06,508.1003,1216.932
2026-05-07,508.2489,1215.653
2026-05-08,508.3895,1215.2711
2026-05-11,508.5324,1216.9774
2026-05-12,508.9619,1220.6788
2026-05-13,509.1028,1220.7818
2026-05-14,509.1028,1220.7818
2026-05-14,509.1028,1220.7818
2026-05-14,509.2464,1221.0517
2026-05-15,509.3895,1219.6925
2026-05-18,509.5328,1219.8113
2026-05-19,509.9543,1222.1995
2026-05-20,510.0978,1222.5204
2026-05-21,510.2414,1222.0416
2026-05-22,510.3848,1223.5352
2026-05-25,510.5282,1224.3915
2026-05-26,510.9532,1227.6709
2026-05-27,510.9532,1227.6709
2026-05-28,511.0935,1229.0337
2026-05-29,511.3813,1230.2576
2026-06-01,511.5218,1230.2854
2026-06-02,511.9628,1232.1986
2026-06-03,512.1073,1232.921
2026-06-04,512.2531,1232.4196
2026-06-05,512.3972,1233.2499
2026-06-08,512.5411,1232.717
2026-06-09,512.9739,1233.5228
2026-06-10,513.1177,1233.3414
2026-06-11,513.2621,1232.5361
2026-06-12,513.4067,1231.4949
2026-06-15,513.5511,1230.8803
2026-06-16,515.3557,1229.4829
2026-06-17,515.5004,1231.3614
2026-06-18,517.3431,1232.3007
2026-06-19,517.488,1233.3359
2026-06-22,517.6326,1234.7227
2026-06-23,518.0678,1235.0129
2026-06-24,518.213,1234.9798
2026-06-25,518.3642,1235.6353
2026-06-26,518.5086,1236.0116
2026-06-29,518.6533,1237.4377
2026-06-30,519.1909,1238.5844
2026-07-01,519.335,1239.6145
2026-07-02,519.4732,1241.9263
2026-07-03,519.6179,1243.2509
2026-07-06,519.763,1245.1369
2026-07-07,519.763,1245.1369
2026-07-08,520.1983,1245.43
2026-07-09,520.4879,1245.0527
2026-07-10,520.6337,1244.9572
2026-07-13,520.7777,1244.8355
2026-07-14,521.211,1244.6887
